path,source,author,license,url,retrieved,notes
assets/icon.svg,PIPWRECK repo,PIPWRECK UI,own-work,,2026-09-21,App-ikon ritad i projektet. Godots standardikon anvands inte.
assets/icons/android/icon_background.png,tools/gen_icons.py,PIPWRECK dev,own-work,,2026-09-21,"Adaptive icon bakgrund 432x432, surface/pit med svag mittvask"
assets/icons/android/icon_foreground.png,tools/gen_icons.py,PIPWRECK dev,own-work,,2026-09-21,"Adaptive icon forgrund 432x432, PIPWRECK-tarning i krit-stil"
assets/icons/android/icon_legacy.png,tools/gen_icons.py,PIPWRECK dev,own-work,,2026-09-21,"Legacy launcher-ikon 192x192, bakgrund + tarning komponerade"
assets/icons/android/icon_monochrome.png,tools/gen_icons.py,PIPWRECK dev,own-work,,2026-09-21,"Themed icon 432x432 (Android 13+), vit silhuett"
assets/sfx/boss_intro.wav,tools/gen_sfx.py,PIPWRECK UI,own-work,,2026-09-21,"Boss entre, lagt dan 600 ms"
assets/sfx/charge_store.wav,tools/gen_sfx.py,PIPWRECK UI,own-work,,2026-09-21,"Laddning lagras, mjuk klockton 240 ms"
assets/sfx/combo_house.wav,tools/gen_sfx.py,PIPWRECK UI,own-work,,2026-09-21,"Combo x8/kak, fyrklang + sub 250 ms"
assets/sfx/combo_pair.wav,tools/gen_sfx.py,PIPWRECK UI,own-work,,2026-09-21,"Combo x2, stigande tvaklang 120 ms"
assets/sfx/combo_triple.wav,tools/gen_sfx.py,PIPWRECK UI,own-work,,2026-09-21,"Combo x4, stigande treklang 180 ms"
assets/sfx/damage_hit.wav,tools/gen_sfx.py,PIPWRECK UI,own-work,,2026-09-21,"Skada, dov small 90 ms"
assets/sfx/damage_overflow.wav,tools/gen_sfx.py,PIPWRECK UI,own-work,,2026-09-21,"Overflod, small + svep uppat 190 ms"
assets/sfx/defeat.wav,tools/gen_sfx.py,PIPWRECK UI,own-work,,2026-09-21,"Forlust, tre fallande toner 900 ms"
assets/sfx/die_activate.wav,tools/gen_sfx.py,PIPWRECK UI,own-work,,2026-09-21,"Kedjesteg, torr tick 60 ms, pitchas per steg"
assets/sfx/die_cracked.wav,tools/gen_sfx.py,PIPWRECK UI,own-work,,2026-09-21,"Tarning spricker, glassplitter 380 ms"
assets/sfx/enemy_attack.wav,tools/gen_sfx.py,PIPWRECK UI,own-work,,2026-09-21,"Fiendeattack, svep nedat + dunk 250 ms"
assets/sfx/enemy_killed.wav,tools/gen_sfx.py,PIPWRECK UI,own-work,,2026-09-21,"Fiende dor, krasch + fallande ton 240 ms"
assets/sfx/player_hurt.wav,tools/gen_sfx.py,PIPWRECK UI,own-work,,2026-09-21,"Spelaren traffas, lag puls 240 ms"
assets/sfx/reward_pick.wav,tools/gen_sfx.py,PIPWRECK UI,own-work,,2026-09-21,"Belonig vald, mjuk bekraftelse 300 ms"
assets/sfx/round_end.wav,tools/gen_sfx.py,PIPWRECK UI,own-work,,2026-09-21,"Rundans slut, kort kadens 560 ms"
assets/sfx/ui_tap.wav,tools/gen_sfx.py,PIPWRECK UI,own-work,,2026-09-21,"UI-tryck, 5 ms tick"
assets/sfx/victory.wav,tools/gen_sfx.py,PIPWRECK UI,own-work,,2026-09-21,"Vinst, kort fanfar 800 ms"
assets/sprites/dice/crack_1.png,tools/gen_dice_sprites.py,PIPWRECK UI,own-work,,2026-09-21,Sprickoverlay variant 1
assets/sprites/dice/crack_2.png,tools/gen_dice_sprites.py,PIPWRECK UI,own-work,,2026-09-21,Sprickoverlay variant 2
assets/sprites/dice/crack_3.png,tools/gen_dice_sprites.py,PIPWRECK UI,own-work,,2026-09-21,Sprickoverlay variant 3
assets/sprites/dice/die_body_bone.png,tools/gen_dice_sprites.py,PIPWRECK UI,own-work,,2026-09-21,Tarningskropp bone 32x32 (fortintad; mockup och editorforhandsvisning)
assets/sprites/dice/die_body_glass.png,tools/gen_dice_sprites.py,PIPWRECK UI,own-work,,2026-09-21,Tarningskropp glass 32x32 (fortintad; mockup och editorforhandsvisning)
assets/sprites/dice/die_body_gray.png,tools/gen_dice_sprites.py,PIPWRECK UI,own-work,,2026-09-21,Tarningskropp graskala 32x32; kors genom palette_lut.gdshader
assets/sprites/dice/die_body_iron.png,tools/gen_dice_sprites.py,PIPWRECK UI,own-work,,2026-09-21,Tarningskropp iron 32x32 (fortintad; mockup och editorforhandsvisning)
assets/sprites/dice/die_tumble_gray.png,tools/gen_dice_sprites.py,PIPWRECK UI,own-work,,2026-09-21,Rullanimation tom kropp 6 frames 192x32 graskala
assets/sprites/dice/glass_highlight.png,tools/gen_dice_sprites.py,PIPWRECK UI,own-work,,2026-09-21,"Additiv glaskant, endast glasmaterial"
assets/sprites/dice/glyph_blod.png,tools/gen_dice_sprites.py,PIPWRECK UI,own-work,,2026-09-21,"Symbolsida blod, 1-bit, satt modulate till semantisk token"
assets/sprites/dice/glyph_eld.png,tools/gen_dice_sprites.py,PIPWRECK UI,own-work,,2026-09-21,"Symbolsida eld, 1-bit, satt modulate till semantisk token"
assets/sprites/dice/glyph_frost.png,tools/gen_dice_sprites.py,PIPWRECK UI,own-work,,2026-09-21,"Symbolsida frost, 1-bit, satt modulate till semantisk token"
assets/sprites/dice/glyph_gift.png,tools/gen_dice_sprites.py,PIPWRECK UI,own-work,,2026-09-21,"Symbolsida gift, 1-bit, satt modulate till semantisk token"
assets/sprites/dice/glyph_tomrum.png,tools/gen_dice_sprites.py,PIPWRECK UI,own-work,,2026-09-21,"Symbolsida tomrum, 1-bit, satt modulate till semantisk token"
assets/sprites/dice/lut_bone.png,tools/gen_dice_sprites.py,PIPWRECK UI,own-work,,2026-09-21,Palett-LUT 16x1 for material bone
assets/sprites/dice/lut_glass.png,tools/gen_dice_sprites.py,PIPWRECK UI,own-work,,2026-09-21,Palett-LUT 16x1 for material glass
assets/sprites/dice/lut_iron.png,tools/gen_dice_sprites.py,PIPWRECK UI,own-work,,2026-09-21,Palett-LUT 16x1 for material iron
assets/sprites/dice/lut_world.png,tools/gen_dice_sprites.py,PIPWRECK UI,own-work,,2026-09-21,Palett-LUT 16x1 som tvingar importerade sprites till UI_GUIDE-paletten
assets/sprites/dice/pips_0.png,tools/gen_dice_sprites.py,PIPWRECK UI,own-work,,2026-09-21,"Pip-overlay varde 0 (ihalig ring, HOLLOW/TWIN_EYE)"
assets/sprites/dice/pips_1.png,tools/gen_dice_sprites.py,PIPWRECK UI,own-work,,2026-09-21,Pip-overlay varde 1
assets/sprites/dice/pips_2.png,tools/gen_dice_sprites.py,PIPWRECK UI,own-work,,2026-09-21,Pip-overlay varde 2
assets/sprites/dice/pips_3.png,tools/gen_dice_sprites.py,PIPWRECK UI,own-work,,2026-09-21,Pip-overlay varde 3
assets/sprites/dice/pips_4.png,tools/gen_dice_sprites.py,PIPWRECK UI,own-work,,2026-09-21,Pip-overlay varde 4
assets/sprites/dice/pips_5.png,tools/gen_dice_sprites.py,PIPWRECK UI,own-work,,2026-09-21,Pip-overlay varde 5
assets/sprites/dice/pips_6.png,tools/gen_dice_sprites.py,PIPWRECK UI,own-work,,2026-09-21,Pip-overlay varde 6
assets/sprites/enemies/grave_hand.png,tools/gen_pixel_assets.py,PIPWRECK UI,own-work,,2026-09-21,"GRAVE_HAND idle x4 + death x3, 32x32, hframes 4 vframes 2"
assets/sprites/enemies/iron_tick.png,tools/gen_pixel_assets.py,PIPWRECK UI,own-work,,2026-09-21,"IRON_TICK idle x4 + death x3, 32x32, hframes 4 vframes 2"
assets/sprites/enemies/pip_thief.png,tools/gen_pixel_assets.py,PIPWRECK UI,own-work,,2026-09-21,"PIP_THIEF idle x4 + death x3, 32x32, hframes 4 vframes 2"
assets/sprites/enemies/rust_rat.png,tools/gen_pixel_assets.py,PIPWRECK UI,own-work,,2026-09-21,"RUST_RAT idle x4 + death x3, 32x32, hframes 4 vframes 2"
assets/sprites/enemies/slag_moth.png,tools/gen_pixel_assets.py,PIPWRECK UI,own-work,,2026-09-21,"SLAG_MOTH idle x4 + death x3, 32x32, hframes 4 vframes 2"
assets/sprites/enemies/slagjaw.png,tools/gen_pixel_assets.py,PIPWRECK UI,own-work,,2026-09-21,"SLAGJAW idle x4 + death x3, 48x48, hframes 4 vframes 2"
assets/sprites/enemies/thorn_imp.png,tools/gen_pixel_assets.py,PIPWRECK UI,own-work,,2026-09-21,"THORN_IMP idle x4 + death x3, 32x32, hframes 4 vframes 2"
assets/sprites/env/floor1_parallax_far.png,tools/gen_pixel_assets.py,PIPWRECK UI,own-work,,2026-09-21,"parallaxlager 0, hastighet 0,15, 320x120 kaklingsbar"
assets/sprites/env/floor1_parallax_mid.png,tools/gen_pixel_assets.py,PIPWRECK UI,own-work,,2026-09-21,"parallaxlager 1, hastighet 0,45, 320x120 kaklingsbar"
assets/sprites/env/floor1_parallax_near.png,tools/gen_pixel_assets.py,PIPWRECK UI,own-work,,2026-09-21,"parallaxlager 2, hastighet 1,2, 320x64 kaklingsbar"
assets/sprites/env/floor1_tile.png,tools/gen_pixel_assets.py,PIPWRECK UI,own-work,,2026-09-21,"golvtile marschremsa, 32x32 kaklingsbar"
assets/sprites/hero/smith_body_a.png,tools/gen_pixel_assets.py,PIPWRECK UI,own-work,,2026-09-21,"Smeden paperdoll body_a (bas-kropp variant A Broad, alltid synlig), 48x48 8x4"
assets/sprites/hero/smith_body_b.png,tools/gen_pixel_assets.py,PIPWRECK UI,own-work,,2026-09-21,"Smeden paperdoll body_b (bas-kropp variant B Lean, alltid synlig), 48x48 8x4"
assets/sprites/hero/smith_cape_echo_mirror.png,tools/gen_pixel_assets.py,PIPWRECK UI,own-work,,2026-09-21,"Smeden paperdoll cape_echo_mirror (ECHO_MIRROR, primar cape), 48x48 8x4"
assets/sprites/hero/smith_cape_ember.png,tools/gen_pixel_assets.py,PIPWRECK UI,own-work,,2026-09-21,"Smeden paperdoll cape_ember (kappa), 48x48 8x4"
assets/sprites/hero/smith_cape_octopus.png,tools/gen_pixel_assets.py,PIPWRECK UI,own-work,,2026-09-21,"Smeden paperdoll cape_octopus (OCTOPUS, primar cape), 48x48 8x4"
assets/sprites/hero/smith_fx_blood_price.png,tools/gen_pixel_assets.py,PIPWRECK UI,own-work,,2026-09-21,"Smeden paperdoll fx_blood_price (BLOOD_PRICE, primar fx), 48x48 8x4"
assets/sprites/hero/smith_fx_octopus.png,tools/gen_pixel_assets.py,PIPWRECK UI,own-work,,2026-09-21,"Smeden paperdoll fx_octopus (OCTOPUS, reserv fx), 48x48 8x4"
assets/sprites/hero/smith_hair_a.png,tools/gen_pixel_assets.py,PIPWRECK UI,own-work,,2026-09-21,"Smeden paperdoll hair_a (frisyr A, knut i nacken, valfritt lager), 48x48 8x4"
assets/sprites/hero/smith_hair_b.png,tools/gen_pixel_assets.py,PIPWRECK UI,own-work,,2026-09-21,"Smeden paperdoll hair_b (frisyr B, lang flata, valfritt lager), 48x48 8x4"
assets/sprites/hero/smith_head_domino.png,tools/gen_pixel_assets.py,PIPWRECK UI,own-work,,2026-09-21,"Smeden paperdoll head_domino (DOMINO, reserv head), 48x48 8x4"
assets/sprites/hero/smith_helm_domino.png,tools/gen_pixel_assets.py,PIPWRECK UI,own-work,,2026-09-21,"Smeden paperdoll helm_domino (DOMINO, primar helm), 48x48 8x4"
assets/sprites/hero/smith_helm_iron.png,tools/gen_pixel_assets.py,PIPWRECK UI,own-work,,2026-09-21,"Smeden paperdoll helm_iron (hjalm), 48x48 8x4"
assets/sprites/hero/smith_legs_iron.png,tools/gen_pixel_assets.py,PIPWRECK UI,own-work,,2026-09-21,"Smeden paperdoll legs_iron (benskenor, utrustningslager legs), 48x48 8x4"
assets/sprites/hero/smith_offhand_broken_scale.png,tools/gen_pixel_assets.py,PIPWRECK UI,own-work,,2026-09-21,"Smeden paperdoll offhand_broken_scale (BROKEN_SCALE, reserv offhand), 48x48 8x4"
assets/sprites/hero/smith_offhand_cheat_cube.png,tools/gen_pixel_assets.py,PIPWRECK UI,own-work,,2026-09-21,"Smeden paperdoll offhand_cheat_cube (CHEAT_CUBE, primar offhand), 48x48 8x4"
assets/sprites/hero/smith_portrait_a.png,tools/gen_pixel_assets.py,PIPWRECK UI,own-work,,2026-09-21,"Smeden portratt variant A, 96x96, konsvalskarmen"
assets/sprites/hero/smith_portrait_b.png,tools/gen_pixel_assets.py,PIPWRECK UI,own-work,,2026-09-21,"Smeden portratt variant B, 96x96, konsvalskarmen"
assets/sprites/hero/smith_torso_broken_scale.png,tools/gen_pixel_assets.py,PIPWRECK UI,own-work,,2026-09-21,"Smeden paperdoll torso_broken_scale (BROKEN_SCALE, primar torso), 48x48 8x4"
assets/sprites/hero/smith_torso_cheat_cube.png,tools/gen_pixel_assets.py,PIPWRECK UI,own-work,,2026-09-21,"Smeden paperdoll torso_cheat_cube (CHEAT_CUBE, reserv torso), 48x48 8x4"
assets/sprites/hero/smith_torso_echo_mirror.png,tools/gen_pixel_assets.py,PIPWRECK UI,own-work,,2026-09-21,"Smeden paperdoll torso_echo_mirror (ECHO_MIRROR, reserv torso), 48x48 8x4"
assets/sprites/hero/smith_weapon_hammer.png,tools/gen_pixel_assets.py,PIPWRECK UI,own-work,,2026-09-21,"Smeden paperdoll weapon_hammer (vapen A), 48x48 8x4"
assets/sprites/hero/smith_weapon_tongs.png,tools/gen_pixel_assets.py,PIPWRECK UI,own-work,,2026-09-21,"Smeden paperdoll weapon_tongs (vapen B), 48x48 8x4"
